plant,strain,dataset_year,field,plot,nitrogen,plantsp,harvester,chloro,nodnum,meannodweight,shootmass,fert
813,231,2008,6,6B,Nitrogen,T. pratense,NA,20.8,170,4.00E-05,0.09,0 N
815,796,2008,2,2B,Nitrogen,T. pratense,MH,37.8,202,3.32E-05,0.18,0 N
816,61,2008,5,5B,Nitrogen,T. repens,JL,43.9,97,0.000380412,0.36,0 N
844,527,2008,3,3B,Nitrogen,T. pratense,DW,42.7,148,7.77E-05,0.25,0 N
850,97,2008,1,1B,Nitrogen,T. pratense,MH,34.8,220,0.000148636,0.39,0 N
855,773,2008,4,4B,Nitrogen,T. pratense,JL,32,68,0.000536765,0.22,0 N
856,699,2008,5,5B,Nitrogen,T. repens,MH,20.4,556,2.57E-05,0.25,0 N
866,577,2008,3,3B,Nitrogen,T. hybridum,JL,23.6,32,4.38E-05,0.14,0 N
868,262,2008,2,2B,Nitrogen,T. pratense,CPT,33.1,340,NA,0.28,0 N
871,231,2008,6,6B,Nitrogen,T. repens,JL,52.3,99,0.000260606,0.52,0 N
872,328,2008,2,2B,Nitrogen,T. pratense,MH,52.7,117,0.000107692,0.45,0 N
873,97,2008,1,1B,Nitrogen,T. hybridum,CPT,40.4,368,2.55E-05,0.45,0 N
876,97,2008,1,1B,Nitrogen,T. hybridum,DW,20.7,52,1.54E-05,0.05,0 N
881,61,2008,5,5B,Nitrogen,T. hybridum,DW,51.2,168,0.000116071,0.14,0 N
884,56,2008,5,5B,Nitrogen,T. pratense,JL,52.7,92,0.000331522,0.86,0 N
886,61,2008,5,5B,Nitrogen,T. repens,JL,47.3,124,0.000416935,0.67,0 N
887,762,2008,5,5B,Nitrogen,T. repens,DW,44.4,28,0.002064286,0.65,0 N
903,527,2008,3,3B,Nitrogen,T. pratense,JL,43.5,147,0.000251701,0.31,0 N
915,97,2008,1,1B,Nitrogen,T. repens,DW,50.8,120,0.0003525,0.66,0 N
924,61,2008,5,5B,Nitrogen,T. pratense,JL,36.7,580,0.0004225,0.52,0 N
925,262,2008,2,2B,Nitrogen,T. hybridum,JL,13,115,0.000116,0.2,0 N
929,699,2008,5,5B,Nitrogen,T. hybridum,JL,15,155,5.33E-05,0.12,0 N
934,651,2008,6,6B,Nitrogen,T. repens,JL,48.2,185,9.80E-05,0.63,0 N
942,859,2008,4,4B,Nitrogen,T. repens,JL,52.8,163,0.00050339,0.87,0 N
943,209,2008,6,6B,Nitrogen,T. repens,JL,48.2,185,0.000297,0.66,0 N
947,859,2008,4,4B,Nitrogen,T. hybridum,JL,37.5,87,3.91E-05,0.65,0 N
950,538,2008,1,1B,Nitrogen,T. repens,JL,NA,38,0.000213158,0.04,0 N
952,643,2008,2,2B,Nitrogen,T. hybridum,JL,32.2,133,0.000754,0.23,0 N
956,643,2008,2,2B,Nitrogen,T. repens,JL,18.9,2,0.00405,0.07,0 N
962,527,2008,3,3B,Nitrogen,T. pratense,DW,46.4,197,0.000594,0.74,0 N
964,40,2008,3,3B,Nitrogen,T. hybridum,DW,29.3,137,0.000576238,0.17,0 N
969,796,2008,2,2B,Nitrogen,T. hybridum,JL,5,80,NA,0.06,0 N
972,773,2008,4,4B,Nitrogen,T. pratense,JL,53.1,51,0.001139216,0.41,0 N
976,577,2008,3,3B,Nitrogen,T. hybridum,JL,31,250,NA,0.13,0 N
979,651,2008,6,6B,Nitrogen,T. pratense,JL,46,300,0.00016,0.89,0 N
984,209,2008,6,6B,Nitrogen,T. pratense,DW,44.1,327,0.000565714,0.96,0 N
987,475,2008,4,4B,Nitrogen,T. repens,JL,40.9,158,0.000327,0.78,0 N
994,40,2008,3,3B,Nitrogen,T. pratense,MH,21.7,9,0.000222222,0.16,0 N
998,61,2008,5,5B,Nitrogen,T. hybridum,DW,45.1,230,0.000457,0.58,0 N
999,478,2008,2,2B,Nitrogen,T. hybridum,DW,8.1,606,1.26E-05,0.09,0 N
1000,61,2008,5,5B,Nitrogen,T. pratense,JL,49.3,235,0.000291,0.53,0 N
1007,381,2008,3,3B,Nitrogen,T. repens,DW,41.8,33,0.000254545,0.05,0 N
1010,156,2008,2,2B,Nitrogen,T. pratense,DW,54.7,381,0.000205607,1.02,0 N
1011,498,2008,5,5B,Nitrogen,T. repens,DW,19.6,259,0.00022,0.09,0 N
1016,97,2008,1,1B,Nitrogen,T. repens,DW,36.4,204,0.000486139,0.56,0 N
1019,498,2008,5,5B,Nitrogen,T. repens,MH,15.8,760,0.000125,0.1,0 N
1020,596,2008,1,1B,Nitrogen,T. hybridum,MH,39.6,36,2.00E-04,0.17,0 N
1023,717,2008,6,6B,Nitrogen,T. repens,MH,50.5,25,0.000216,0.32,0 N
1024,16,2008,3,3B,Nitrogen,T. repens,MH,54.5,154,0.000191,0.38,0 N
1030,773,2008,4,4B,Nitrogen,T. hybridum,JL,41.4,63,0.000901587,0.27,0 N
1032,859,2008,4,4B,Nitrogen,T. hybridum,DW,34.4,829,2.87E-05,0.23,0 N
1034,773,2008,4,4B,Nitrogen,T. pratense,DW,6.8,10,0.00094,0.07,0 N
1037,40,2008,3,3B,Nitrogen,T. pratense,JL,25.5,23,0.002526087,0.16,0 N
1038,717,2008,6,6B,Nitrogen,T. hybridum,MH,44.2,160,0.000348,0.38,0 N
1040,381,2008,3,3B,Nitrogen,T. hybridum,MH,9.1,82,0.000239024,0.07,0 N
1042,538,2008,1,1B,Nitrogen,T. pratense,JL,43.4,125,0.000207,0.73,0 N
1043,156,2008,2,2B,Nitrogen,T. hybridum,JL,46,55,0.000812727,0.49,0 N
1044,511,2008,3,3B,Nitrogen,T. hybridum,JL,37.6,310,0.000251,0.51,0 N
1049,577,2008,3,3B,Nitrogen,T. repens,MH,38.4,282,0.000136,0.33,0 N
1054,511,2008,3,3B,Nitrogen,T. pratense,MH,32,230,9.00E-05,0.21,0 N
1075,577,2008,3,3B,Nitrogen,T. pratense,MH,45,729,0.000139,0.69,0 N
1078,762,2008,5,5B,Nitrogen,T. repens,DW,52.1,253,0.000370297,0.65,0 N
1082,40,2008,3,3B,Nitrogen,T. hybridum,DW,34.8,2,6.00E-04,3.29,0 N
1109,651,2008,6,6B,Nitrogen,T. repens,TS,49.1,62,0.001148387,0.83,0 N
1111,859,2008,4,4B,Nitrogen,T. pratense,DW,43.9,807,0.000345545,0.79,0 N
1113,56,2008,5,5B,Nitrogen,T. hybridum,MH,49.6,23,0.000343478,0.47,0 N
1115,16,2008,3,3B,Nitrogen,T. pratense,TS,36.9,417,0.000211,0.6,0 N
1116,596,2008,1,1B,Nitrogen,T. pratense,JL,47.7,197,0.000149,1.26,0 N
1118,527,2008,3,3B,Nitrogen,T. hybridum,JL,51.2,1,5.00E-05,0.73,0 N
1123,40,2008,3,3B,Nitrogen,T. repens,MH,22.1,60,0.000385,0.32,0 N
1125,527,2008,3,3B,Nitrogen,T. pratense,DW,44,375,0.000477451,0.73,0 N
1126,209,2008,6,6B,Nitrogen,T. repens,DW,41.9,277,0.000485294,0.9,0 N
1128,231,2008,6,6B,Nitrogen,T. pratense,JL,54.4,182,0.000182,1.06,0 N
1133,643,2008,2,2B,Nitrogen,T. pratense,DW,7.6,0,NA,0.04,0 N
1134,773,2008,4,4B,Nitrogen,T. repens,JL,52.5,79,0.000710127,0.59,0 N
1136,381,2008,3,3B,Nitrogen,T. hybridum,MH,20.6,180,5.60E-05,0.09,0 N
1141,651,2008,6,6B,Nitrogen,T. pratense,JL,50.4,103,0.000207767,1.1,0 N
2,627,2018,6,6C,Control,T. repens,MH,47.9,17,0.3697,0.1006,Fertilized
3,180,2018,5,5C,Control,T. repens,MH,44.9,35,0.0721,0.1572,Fertilized
4,460,2018,3,3C,Control,T. repens,MH,47.2,160,0.0896,0.1251,Fertilized
5,460,2018,3,3C,Control,T. repens,CA,47.9,61,0.328,0.217,Fertilized
13,108,2018,3,3C,Control,T. hybridum,JL,41.1,47,0.8119,0.1338,Fertilized
24,438,2018,4,4C,Control,T. hybridum,SJ,42.3,29,0.1654,0.1127,Fertilized
31,449,2018,2,2C,Control,T. hybridum,MH,40.8,370,0.2191,0.2716,Fertilized
32,460,2018,3,3C,Control,T. repens,JL,30.2,30,0.8149,0.027,Fertilized
38,449,2018,2,2C,Control,T. hybridum,TG,46.6,44,0.0554,0.1307,Fertilized
51,325,2018,4,4C,Control,T. repens,JL,25,62,0.3905,0.0595,Fertilized
53,415,2018,3,3C,Control,T. repens,TG,NA,27,0.099,0.0204,Fertilized
69,50,2018,1,1C,Control,T. pratense,SJ,NA,15,0.0161,0.0028,Fertilized
78,50,2018,1,1C,Control,T. pratense,SJ,37.6,17,0.7234,0.121,Fertilized
81,228,2018,1,1C,Control,T. pratense,CA,39.5,45,0.0361,0.1752,Fertilized
82,110,2018,4,4C,Control,T. repens,MH,42.1,9,0.9561,0.0536,Fertilized
84,901,2018,2,2C,Control,T. repens,CA,37.7,19,0.1651,0.0234,Fertilized
85,145,2018,3,3C,Control,T. pratense,TG,45.8,21,1.1738,0.2254,Fertilized
105,729,2018,1,1C,Control,T. hybridum,SJ,46.3,24,0.0795,0.1572,Fertilized
108,493,2018,5,5C,Control,T. pratense,TG,52.3,13,0.3432,0.1305,Fertilized
128,636,2018,1,1C,Control,T. repens,JL,31.2,36,0.4411,0.0439,Fertilized
133,627,2018,6,6C,Control,T. repens,SC,45.3,79,0.689,0.1095,Fertilized
135,160,2018,5,5C,Control,T. pratense,SC,10.2,54,0.0943,0.0157,Fertilized
138,344,2018,6,6C,Control,T. pratense,SC,26.2,26,0.2062,0.0107,Fertilized
153,318,2018,2,2C,Control,T. pratense,JL,9.2,6,4.9718,0.081,Fertilized
159,493,2018,5,5C,Control,T. pratense,JL,40.5,1,0.379,0.041,Fertilized
160,110,2018,4,4C,Control,T. repens,JL,48.3,13,0.6131,0.1813,Fertilized
163,627,2018,6,6C,Control,T. repens,SJ,24.7,11,1.3005,0.0343,Fertilized
181,50,2018,1,1C,Control,T. pratense,JL,37.9,170,0.5358,0.1805,Fertilized
184,110,2018,4,4C,Control,T. repens,SJ,36.4,2,4.734,0.0334,Fertilized
187,344,2018,6,6C,Control,T. pratense,NA,NA,NA,NA,NA,Fertilized
206,110,2018,4,4C,Control,T. repens,SJ,39.8,47,0.2136,0.268,Fertilized
207,113,2018,6,6C,Control,T. hybridum,SJ,32.8,2,0.264,0.0498,Fertilized
219,901,2018,2,2C,Control,T. repens,SJ,44.9,44,0.0434,0.2255,Fertilized
221,462,2018,5,5C,Control,T. hybridum,JL,45.4,20,1.9751,0.1558,Fertilized
225,145,2018,3,3C,Control,T. pratense,SJ,37.7,3,0.311,0.0663,Fertilized
243,627,2018,6,6C,Control,T. repens,MH,5.9,0,0,0.0044,Fertilized
248,108,2018,3,3C,Control,T. hybridum,SJ,26.5,20,0.0795,0.0165,Fertilized
249,706,2018,4,4C,Control,T. hybridum,MH,37.4,38,0.2326,NA,Fertilized
253,308,2018,6,6C,Control,T. pratense,SJ,40.2,20,0.3689,0.1008,Fertilized
269,415,2018,3,3C,Control,T. repens,SJ,15.1,14,0.1006,0.0164,Fertilized
277,108,2018,3,3C,Control,T. hybridum,SJ,33.8,6,0.8535,0.0266,Fertilized
280,100,2018,5,5C,Control,T. hybridum,SJ,38.4,8,0.5476,0.1335,Fertilized
284,758,2018,1,1C,Control,T. repens,SJ,43.7,49,0.3235,0.2067,Fertilized
295,173,2018,2,2C,Control,T. repens,SJ,23.1,18,0.1362,0.0267,Fertilized
342,462,2018,5,5C,Control,T. hybridum,SJ,46.7,17,0.7679,0.193,Fertilized
351,415,2018,3,3C,Control,T. repens,TG,16.9,21,0.0624,0.0082,Fertilized
352,415,2018,3,3C,Control,T. repens,NA,NA,NA,NA,NA,Fertilized
360,3,2018,6,6C,Control,T. repens,MJH,33.7,29,0.532,0.0533,Fertilized
361,108,2018,3,3C,Control,T. hybridum,TG,46.9,58,0.1575,0.1549,Fertilized
383,173,2018,2,2C,Control,T. repens,MJH,27,35,0.1405,0.0445,Fertilized
398,861,2018,5,5C,Control,T. repens,TG,41.1,17,0.6229,0.1626,Fertilized
405,113,2018,6,6C,Control,T. hybridum,TG,36.8,48,0.44,0.0412,Fertilized
408,113,2018,6,6C,Control,T. hybridum,MH,36,22,0.3036,0.0304,Fertilized
424,837,2018,3,3C,Control,T. hybridum,JL,46.2,17,0.8222,0.0688,Fertilized
428,559,2018,4,4C,Control,T. pratense,JL,46.2,120,0.1962,0.3354,Fertilized
429,559,2018,4,4C,Control,T. pratense,MH,35,80,0.6589,0.4516,Fertilized
432,901,2018,2,2C,Control,T. repens,JL,28,7,0.5553,0.0074,Fertilized
436,325,2018,4,4C,Control,T. repens,JL,25.5,154,0.3472,0.3316,Fertilized
437,325,2018,4,4C,Control,T. repens,NA,NA,NA,NA,NA,Fertilized
438,113,2018,6,6C,Control,T. hybridum,CA,47.3,64,0.6384,0.203,Fertilized
441,460,2018,3,3C,Control,T. repens,SJ,43.7,84,0.3667,0.3206,Fertilized
442,462,2018,5,5C,Control,T. hybridum,JL,33.5,105,0.1029,0.177,Fertilized
466,344,2018,6,6C,Control,T. pratense,JL,16.1,77,0.0785,0.0249,Fertilized
480,415,2018,3,3C,Control,T. repens,JL,33.9,18,0.0668,0.1108,Fertilized
483,449,2018,2,2C,Control,T. hybridum,SJ,28.9,38,0.2384,0.0581,Fertilized
500,460,2018,3,3C,Control,T. repens,JL,29.8,16,1.635,0.0477,Fertilized
501,460,2018,3,3C,Control,T. repens,MH,28.3,45,0.3404,0.0271,Fertilized
507,449,2018,2,2C,Control,T. hybridum,TG,32.6,72,1.159,0.0955,Fertilized
513,308,2018,6,6C,Control,T. pratense,TG,50.1,47,0.2118,0.1649,Fertilized
526,228,2018,1,1C,Control,T. pratense,MH,NA,15,0.0873,0.005,Fertilized
528,726,2018,6,6C,Control,T. hybridum,SJ,45.5,9,0.2006,0.2685,Fertilized
533,74,2018,1,1C,Control,T. hybridum,TG,40.3,17,0.7537,0.0823,Fertilized
550,758,2018,1,1C,Control,T. repens,TG,28,22,0.1576,0.0062,Fertilized
562,415,2018,3,3C,Control,T. repens,MH,35.2,95,0.2198,0.1307,Fertilized
563,110,2018,4,4C,Control,T. repens,JL,43.5,20,1.2162,0.097,Fertilized
564,74,2018,1,1C,Control,T. hybridum,MH,34.4,35,1.2858,0.2564,Fertilized
570,462,2018,5,5C,Control,T. hybridum,MH,34.2,60,0.4021,0.1139,Fertilized
571,100,2018,5,5C,Control,T. hybridum,SJ,47.7,14,0.8095,0.1861,Fertilized
578,318,2018,2,2C,Control,T. pratense,JL,43,35,1.7989,0.1687,Fertilized
583,438,2018,4,4C,Control,T. hybridum,MH,27,105,0.1249,0.2393,Fertilized
584,758,2018,1,1C,Control,T. repens,JL,47.5,100,0.3643,0.1474,Fertilized
592,318,2018,2,2C,Control,T. pratense,JL,30.3,14,2.0922,0.1105,Fertilized
601,729,2018,1,1C,Control,T. hybridum,JL,7.2,50,0.1489,0.0181,Fertilized
605,145,2018,3,3C,Control,T. pratense,JL,43.4,4,0.1055,0.1067,Fertilized
622,228,2018,1,1C,Control,T. pratense,SJ,NA,23,0.0315,0.0084,Fertilized
651,180,2018,5,5C,Control,T. repens,SJ,NA,35,0.0353,0.0084,Fertilized
655,325,2018,4,4C,Control,T. repens,SJ,34.7,11,0.5714,0.0703,Fertilized
665,559,2018,4,4C,Control,T. pratense,SJ,50.1,128,0.1438,0.2602,Fertilized
674,344,2018,6,6C,Control,T. pratense,SJ,40.3,0,0,0.0326,Fertilized
678,110,2018,4,4C,Control,T. repens,SJ,4.1,35,0.5611,0.3665,Fertilized
691,559,2018,4,4C,Control,T. pratense,SJ,40.3,43,0.2658,0.0566,Fertilized
702,145,2018,3,3C,Control,T. pratense,SJ,43,58,0.8084,0.3263,Fertilized
708,627,2018,6,6C,Control,T. repens,SJ,43.5,38,0.0721,0.0978,Fertilized
725,461,2018,2,2C,Control,T. hybridum,SJ,37.9,3,0.3813,0.0801,Fertilized
727,3,2018,6,6C,Control,T. repens,MH,29,3,1.6753,0.0171,Fertilized
732,460,2018,3,3C,Control,T. repens,MH,39.3,140,0.2728,0.2147,Fertilized
733,74,2018,1,1C,Control,T. hybridum,MH,NA,NA,NA,NA,Fertilized
734,108,2018,3,3C,Control,T. hybridum,MH,34.5,370,0.2013,0.2771,Fertilized
740,110,2018,4,4C,Control,T. repens,MH,39.8,12,2.7298,0.1078,Fertilized
743,837,2018,3,3C,Control,T. hybridum,MH,23.9,30,0.2945,0.0208,Fertilized
748,228,2018,1,1C,Control,T. pratense,MH,NA,70,0.07,0.0123,Fertilized
771,110,2008,4,4A,Control,T. hybridum,ES,32.9,37,0.000191892,0.12,Fertilized
772,758,2008,1,1A,Control,T. pratense,MH,40.7,77,0.00032987,0.24,Fertilized
774,344,2008,6,6A,Control,T. hybridum,JL,45.9,2,2.50E-05,0.11,Fertilized
775,901,2008,2,2A,Control,T. hybridum,TB,41.7,27,0.000133333,0.04,Fertilized
776,726,2008,6,6A,Control,T. hybridum,TB,39.5,34,0.000255882,0.1,Fertilized
781,318,2008,2,2A,Control,T. pratense,JL,42.5,73,0.000416438,0.18,Fertilized
789,308,2008,6,6A,Control,T. pratense,CPT,44.4,69,0.000123188,0.24,Fertilized
796,180,2008,5,5A,Control,T. pratense,NA,41.6,49,9.80E-05,0.27,Fertilized
799,74,2008,1,1A,Control,T. pratense,CPT,50.5,103,0.000175728,0.34,Fertilized
806,325,2008,4,4A,Control,T. pratense,FD,46.6,104,7.31E-05,0.18,Fertilized
810,837,2008,3,3A,Control,T. pratense,CPT,22.9,38,7.37E-05,0.03,Fertilized
811,108,2008,3,3A,Control,T. pratense,ES,38,251,3.51E-05,0.18,Fertilized
817,461,2008,2,2A,Control,T. hybridum,JL,44.3,53,0.000343396,0.43,Fertilized
818,318,2008,2,2A,Control,T. hybridum,JL,54,4,0.008075,0.28,Fertilized
820,861,2008,5,5A,Control,T. hybridum,MH,42.4,50,0.000194,0.18,Fertilized
821,113,2008,6,6A,Control,T. hybridum,DW,48.1,159,7.30E-05,0.63,Fertilized
823,449,2008,2,2A,Control,T. pratense,JL,53.8,244,0.000214344,0.81,Fertilized
826,113,2008,6,6A,Control,T. hybridum,RP,33.9,182,9.45E-05,0.18,Fertilized
839,180,2008,5,5A,Control,T. pratense,CPT,42,276,0.000238768,0.43,Fertilized
845,344,2008,6,6A,Control,T. pratense,DW,37.1,195,3.59E-05,0.44,Fertilized
848,901,2008,2,2A,Control,T. pratense,JL,47.8,161,0.000240994,0.35,Fertilized
852,636,2008,1,1A,Control,T. hybridum,CPT,28.7,29,3.45E-05,0.07,Fertilized
853,559,2008,4,4A,Control,T. pratense,JL,22,50,0.000446,0.06,Fertilized
858,758,2008,1,1A,Control,T. pratense,CPT,51.9,68,0.000236765,0.43,Fertilized
869,74,2008,1,1A,Control,T. hybridum,CPT,47.1,117,0.000171795,0.41,Fertilized
874,325,2008,4,4A,Control,T. repens,JL,44.8,131,0.000441985,0.4,Fertilized
875,344,2008,6,6A,Control,T. pratense,JL,50,332,0.000117771,0.35,Fertilized
879,415,2008,3,3A,Control,T. hybridum,JL,15.3,120,0.000164286,0.12,Fertilized
882,438,2008,4,4A,Control,T. hybridum,TB,53.4,97,8.66E-05,0.41,Fertilized
888,729,2008,1,1A,Control,T. repens,DW,48.2,190,0.000130526,0.6,Fertilized
889,837,2008,3,3A,Control,T. hybridum,TB,36.8,328,8.02E-05,0.34,Fertilized
892,758,2008,1,1A,Control,T. pratense,JL,40.1,185,0.000418378,0.5,Fertilized
896,499,2008,3,3A,Control,T. hybridum,JL,39.5,68,0.000272059,0.44,Fertilized
898,726,2008,6,6A,Control,T. pratense,JL,38.3,130,8.69E-05,0.43,Fertilized
900,344,2008,6,6A,Control,T. hybridum,JL,46,183,0.000307104,0.43,Fertilized
912,3,2008,6,6A,Control,T. pratense,DW,36.4,10,0.00026,0.22,Fertilized
919,325,2008,4,4A,Control,T. hybridum,DW,NA,44,4.09E-05,0.01,Fertilized
920,901,2008,2,2A,Control,T. repens,DW,53.6,135,0.000555372,0.69,Fertilized
921,461,2008,2,2A,Control,T. pratense,MH,45.5,126,0.000206,0.28,Fertilized
927,758,2008,1,1A,Control,T. hybridum,KK,45.2,88,8.41E-05,0.71,Fertilized
930,308,2008,6,6A,Control,T. repens,MH,36.3,157,4.90E-05,0.52,Fertilized
931,113,2008,6,6A,Control,T. repens,JL,40.7,265,0.000196,0.47,Fertilized
932,74,2008,1,1A,Control,T. hybridum,JL,58.9,99,0.00030101,0.47,Fertilized
939,415,2008,3,3A,Control,T. pratense,DW,44.4,220,0.000113889,0.41,Fertilized
951,74,2008,1,1A,Control,T. pratense,JL,39.5,145,0.000184,0.31,Fertilized
955,3,2008,6,6A,Control,T. hybridum,JL,13,10,0.00142,0.04,Fertilized
957,729,2008,1,1A,Control,T. pratense,JL,51.7,295,0.000162,0.8,Fertilized
958,901,2008,2,2A,Control,T. repens,JL,39.3,325,0.000249,0.25,Fertilized
959,559,2008,4,4A,Control,T. hybridum,MH,46,50,0.000672,0.45,Fertilized
960,74,2008,1,1A,Control,T. repens,DW,52.1,117,0.000294872,0.56,Fertilized
965,499,2008,3,3A,Control,T. hybridum,DW,48.7,248,0.000282178,0.58,Fertilized
967,729,2008,1,1A,Control,T. pratense,JL,39.7,245,0.000182,0.4,Fertilized
968,318,2008,2,2A,Control,T. pratense,JL,50.6,112,0.00033,0.57,Fertilized
970,145,2008,3,3A,Control,T. hybridum,JL,44.8,160,0.000398,0.21,Fertilized
975,499,2008,3,3A,Control,T. hybridum,JL,49.4,115,0.000422,0.59,Fertilized
977,449,2008,2,2A,Control,T. pratense,JL,39.8,310,0.00028,0.67,Fertilized
978,145,2008,3,3A,Control,T. hybridum,JL,45,150,0.000483,0.47,Fertilized
982,415,2008,3,3A,Control,T. hybridum,DW,47,756,0.000175,0.8,Fertilized
986,493,2008,5,5A,Control,T. hybridum,DW,49.2,84,0.000372619,0.7,Fertilized
989,636,2008,1,1A,Control,T. pratense,JL,46.9,185,0.00041,0.7,Fertilized
992,636,2008,1,1A,Control,T. repens,DW,53.5,110,0.000292727,0.57,Fertilized
1002,74,2008,1,1A,Control,T. repens,JL,44.4,107,0.000771963,1,Fertilized
1009,493,2008,5,5A,Control,T. repens,DW,46.7,83,0.000361446,0.23,Fertilized
1015,901,2008,2,2A,Control,T. pratense,DW,41.1,287,0.000466,0.43,Fertilized
1018,318,2008,2,2A,Control,T. hybridum,MH,37.2,77,0.000275325,0.31,Fertilized
1022,74,2008,1,1A,Control,T. hybridum,MH,32.8,15,0.000813333,0.037,Fertilized
1025,493,2008,5,5A,Control,T. repens,MH,42,155,0.000102,0.07,Fertilized
1028,461,2008,2,2A,Control,T. repens,JL,45.8,128,0.000444,0.67,Fertilized
1035,228,2008,1,1A,Control,T. pratense,DW,50.2,419,0.000180189,0.96,Fertilized
1046,50,2008,1,1A,Control,T. hybridum,DW,35.3,500,0.000105941,0.27,Fertilized
1047,837,2008,3,3A,Control,T. repens,JL,11.6,113,0.00028,0.41,Fertilized
1048,160,2008,5,5A,Control,T. hybridum,JL,43.8,57,0.001014035,0.54,Fertilized
1052,449,2008,2,2A,Control,T. pratense,DW,38.9,441,5.74E-05,0.35,Fertilized
1055,729,2008,1,1A,Control,T. hybridum,JL,15.6,80,0.0001575,0.08,Fertilized
1057,559,2008,4,4A,Control,T. hybridum,JL,45.8,35,0.000334286,0.6,Fertilized
1063,180,2008,5,5A,Control,T. pratense,JL,30.4,192,0.000766,0.39,Fertilized
1067,726,2008,6,6A,Control,T. pratense,MH,50.2,484,0.000163,0.53,Fertilized
1069,706,2008,4,4A,Control,T. repens,DW,41.9,233,0.00019,0.67,Fertilized
1070,627,2008,6,6A,Control,T. hybridum,DW,49.4,170,0.000217647,0.58,Fertilized
1072,449,2008,2,2A,Control,T. hybridum,MH,43,188,0.000446,0.24,Fertilized
1076,74,2008,1,1A,Control,T. pratense,DW,42,271,0.000138739,0.85,Fertilized
1080,461,2008,2,2A,Control,T. hybridum,DW,47,186,2.97E-05,0.65,Fertilized
1081,559,2008,4,4A,Control,T. hybridum,DW,NA,0,NA,0.005,Fertilized
1085,461,2008,2,2A,Control,T. pratense,DW,46,710,0.000195,1.15,Fertilized
1086,108,2008,3,3A,Control,T. repens,DW,45.6,159,0.000214,0.78,Fertilized
1088,499,2008,3,3A,Control,T. repens,JL,49.6,184,0.000149,0.83,Fertilized
1089,861,2008,5,5A,Control,T. hybridum,JL,46.9,142,0.000155797,0.98,Fertilized
1090,50,2008,1,1A,Control,T. pratense,NA,47.5,301,0.000175,0.77,Fertilized
1091,228,2008,1,1A,Control,T. hybridum,JL,42.8,312,9.00E-05,0.97,Fertilized
1094,449,2008,2,2A,Control,T. pratense,JL,46.2,59,0.000920339,0.99,Fertilized
1095,706,2008,4,4A,Control,T. repens,JL,46.8,134,0.000936567,0.98,Fertilized
1100,559,2008,4,4A,Control,T. pratense,DW,34.5,134,0.000644118,0.43,Fertilized
1103,493,2008,5,5A,Control,T. pratense,MH,46.4,136,0.000269,0.21,Fertilized
1105,173,2008,2,2A,Control,T. hybridum,JL,47.8,75,0.000106667,0.61,Fertilized
1108,636,2008,1,1A,Control,T. hybridum,TS,40.9,126,0.00014,0.96,Fertilized
1110,627,2008,6,6A,Control,T. hybridum,JL,50.3,64,0.000540625,0.45,Fertilized
1119,461,2008,2,2A,Control,T. hybridum,JL,46.5,118,0.000132203,1.06,Fertilized
1120,758,2008,1,1A,Control,T. repens,MH,53.3,250,0.000149,1.05,Fertilized
1142,627,2008,6,6A,Control,T. repens,TS,44.5,76,6.18E-05,0.63,Fertilized
1143,706,2008,4,4A,Control,T. pratense,JL,52.2,128,0.000395313,0.95,Fertilized
1144,460,2008,3,3A,Control,T. pratense,JL,50.6,165,0.000296,1.16,Fertilized
1145,729,2008,1,1A,Control,T. pratense,MH,42.2,250,3.60E-05,0.35,Fertilized
1147,160,2008,5,5A,Control,T. pratense,DW,42.8,219,0.000193269,0.78,Fertilized
1149,636,2008,1,1A,Control,T. repens,DW,62,75,0.000306667,0.72,Fertilized
1,381,2018,3,3N,Nitrogen,T. repens,MH,46.3,25,0.0545,0.0625,Fertilized
7,762,2018,5,5N,Nitrogen,T. pratense,MH,6,38,0.0786,0.0075,Fertilized
16,527,2018,3,3N,Nitrogen,T. pratense,MH,38.1,60,0.3986,0.1074,Fertilized
21,511,2018,3,3N,Nitrogen,T. pratense,SJ,38.1,19,0.5828,0.0297,Fertilized
23,116,2018,1,1N,Nitrogen,T. pratense,SJ,44.7,24,0.0774,0.1342,Fertilized
33,717,2018,6,6N,Nitrogen,T. pratense,TG,42.3,19,1.14,0.0633,Fertilized
36,116,2018,1,1N,Nitrogen,T. pratense,TG,25.9,19,0.3908,0.0404,Fertilized
52,577,2018,3,3N,Nitrogen,T. hybridum,JL,29,0,0,0.0178,Fertilized
60,498,2018,5,5N,Nitrogen,T. hybridum,JL,37.9,40,0.2127,0.1507,Fertilized
64,56,2018,5,5N,Nitrogen,T. repens,JL,46.9,46,0.5447,0.235,Fertilized
66,717,2018,6,6N,Nitrogen,T. pratense,JL,38.2,46,1.1367,0.0752,Fertilized
104,859,2018,4,4N,Nitrogen,T. repens,SJ,16.6,8,0.6219,0.0194,Fertilized
112,651,2018,6,6N,Nitrogen,T. hybridum,TG,50.7,71,0.2392,0.1634,Fertilized
115,61,2018,5,5N,Nitrogen,T. pratense,TG,51.1,12,2.4489,0.2979,Fertilized
132,773,2018,4,4N,Nitrogen,T. pratense,JL,46.4,51,0.2498,0.204,Fertilized
137,209,2018,6,6N,Nitrogen,T. hybridum,SC,35.4,49,1.3031,0.0567,Fertilized
142,577,2018,3,3N,Nitrogen,T. hybridum,SC,45.1,40,1.3434,0.1208,Fertilized
