,shootmass,leafnum,nodulenum,meannodulemass,totalnodulemass,chloro,harvester,harvestdate,plant_age,strain,nitrogen,field,plot,plantspori,plantpopori,plantsprear,plantpoprear,type,dataset_year
182,0.73,12,378,0.0988000,0.0373333,54.8,MH,1/23/08,90,706,Control,4,4A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
183,0.73,32,349,0.2710000,0.0945790,42.6,MH,1/23/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
184,0.65,21,87,0.0391000,0.0034000,37.5,JL,1/22/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. hybridum,Colorado,treat,2008
185,0.45,17,191,0.5401960,0.1031775,42.8,DW,1/22/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. hybridum,Russia,treat,2008
186,0.08,8,156,0.1410000,0.0219960,21.4,JL,1/22/08,90,729,Control,1,1A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
187,0.04,7,38,0.2131580,0.0081000,NA,JL,1/22/08,90,538,Nitrogen,1,1B,T. hybridum,Russia,T. repens,Idaho,treat,2008
188,0.31,10,145,0.1840000,0.0266800,39.5,JL,1/22/08,90,74,Control,1,1A,T. hybridum,Russia,T. pratense,Greece,treat,2008
189,0.23,13,133,0.7540000,0.1002820,32.2,JL,1/22/08,90,643,Nitrogen,2,2B,T. pratense,Greece,T. hybridum,Russia,treat,2008
190,0.84,32,65,0.5446150,0.0354000,48.3,JL,1/22/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
191,0.63,43,330,0.3830000,0.1263900,36.6,MH,1/23/08,90,231,Nitrogen,6,6B,T. repens,France,T. repens,Idaho,treat,2008
192,0.04,5,10,1.4200000,0.0142000,13,JL,1/22/08,90,3,Control,6,6A,T. repens,Idaho,T. hybridum,Russia,treat,2008
193,0.07,5,2,4.0500000,0.0081000,18.9,JL,1/22/08,90,643,Nitrogen,2,2B,T. pratense,Greece,T. repens,Chile,treat,2008
194,0.80,17,295,0.1620000,0.0477900,51.7,JL,1/22/08,90,729,Control,1,1A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
195,0.25,24,325,0.2490000,0.0809250,39.3,JL,1/22/08,90,901,Control,2,2A,T. repens,Idaho,T. repens,Idaho,treat,2008
196,0.45,20,50,0.6720000,0.0336000,46,MH,1/23/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
197,0.56,25,117,0.2948720,0.0345000,52.1,DW,1/23/08,90,74,Control,1,1A,T. hybridum,Russia,T. repens,Idaho,treat,2008
198,0.56,37,94,0.3404260,0.0320000,55.7,DW,1/23/08,90,325,Control,4,4A,T. repens,Chile,T. repens,Idaho,treat,2008
199,0.74,10,197,0.5940000,0.1170180,46.4,DW,1/23/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
200,0.43,14,244,0.3735850,0.0911547,41,DW,1/23/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. pratense,Greece,treat,2008
201,0.17,14,137,0.5762380,0.0789446,29.3,DW,1/23/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
202,0.58,28,248,0.2821780,0.0699802,48.7,DW,1/23/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
203,0.17,15,122,0.4009800,0.0489196,33.1,DW,1/23/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
204,0.40,7,245,0.1820000,0.0445900,39.7,JL,1/23/08,90,729,Control,1,1A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
205,0.57,10,112,0.3300000,0.0369600,50.6,JL,1/23/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
206,0.06,5,80,NA,NA,5,JL,1/23/08,90,796,Nitrogen,2,2B,T. hybridum,Russia,T. hybridum,Russia,treat,2008
207,0.21,9,160,0.3980000,0.0636800,44.8,JL,1/23/08,90,145,Control,3,3A,T. pratense,Greece,T. hybridum,Russia,treat,2008
208,1.30,20,205,0.4010000,0.0822050,52,JL,1/23/08,90,100,Control,5,5A,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
209,0.41,9,51,1.1392160,0.0581000,53.1,JL,1/23/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
210,0.82,10,110,0.4770000,0.0524700,54.1,JL,1/23/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
211,0.58,29,66,0.2469700,0.0163000,41.7,JL,1/23/08,90,758,Control,1,1A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
212,0.59,18,115,0.4220000,0.0485300,49.4,JL,1/23/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
213,0.13,7,250,NA,NA,31,JL,1/23/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
214,0.67,13,310,0.2800000,0.0868000,39.8,JL,1/23/08,90,449,Control,2,2A,T. hybridum,Russia,T. pratense,Greece,treat,2008
215,0.47,19,150,0.4830000,0.0724500,45,JL,1/23/08,90,145,Control,3,3A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
216,0.89,12,300,0.1600000,0.0480000,46,JL,1/23/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
217,0.41,12,255,0.4550000,0.1160250,37.4,JL,1/23/08,90,460,Control,3,3A,T. repens,Chile,T. pratense,Greece,treat,2008
218,0.37,16,175,0.3280000,0.0574000,49,JL,1/23/08,90,758,Control,1,1A,T. repens,Idaho,T. hybridum,Russia,treat,2008
219,0.80,36,756,0.1750000,0.1323000,47,DW,1/24/08,90,415,Control,3,3A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
220,0.88,38,304,0.4311320,0.1310642,47.5,DW,1/24/08,90,231,Nitrogen,6,6B,T. repens,France,T. repens,Idaho,treat,2008
221,0.96,17,327,0.5657140,0.1849886,44.1,DW,1/24/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. pratense,Pennsylvania,treat,2008
222,0.96,16,407,0.4029700,0.1640089,50.3,DW,1/24/08,90,100,Control,5,5A,T. hybridum,Russia,T. pratense,Greece,treat,2008
223,0.70,13,84,0.3726190,0.0313000,49.2,DW,1/24/08,90,493,Control,5,5A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
224,0.78,58,158,0.3270000,0.0516660,40.9,JL,1/24/08,90,475,Nitrogen,4,4B,T. repens,Idaho,T. repens,Idaho,treat,2008
225,0.75,30,279,0.1235290,0.0344647,53.3,MH,1/24/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
226,0.70,17,185,0.4100000,0.0758500,46.9,JL,1/24/08,90,636,Control,1,1A,T. repens,Chile,T. pratense,Greece,treat,2008
227,0.60,19,188,0.1580000,0.0297040,41.9,MH,1/24/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. hybridum,Colorado,treat,2008
228,1.01,14,267,0.2850000,0.0760950,52.1,DW,1/24/08,90,155,Control,4,4A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
229,0.57,15,110,0.2927270,0.0322000,53.5,DW,1/24/08,90,636,Control,1,1A,T. repens,Chile,T. repens,Chile,treat,2008
230,0.81,39,368,0.3097090,0.1139728,47.1,DW,1/24/08,90,325,Control,4,4A,T. repens,Chile,T. hybridum,Colorado,treat,2008
231,0.16,6,9,0.2222220,0.0020000,21.7,MH,1/24/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
232,0.54,31,73,0.3520550,0.0257000,46.5,JL,1/24/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. repens,Chile,treat,2008
233,0.70,12,96,0.4937500,0.0474000,44.8,JL,1/24/08,90,145,Control,3,3A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
234,0.68,27,83,0.8385540,0.0696000,47.6,JL,1/24/08,90,796,Nitrogen,2,2B,T. hybridum,Russia,T. repens,Chile,treat,2008
235,0.58,25,230,0.4570000,0.1051100,45.1,DW,1/24/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. hybridum,Russia,treat,2008
236,0.09,5,606,0.0126000,0.0076485,8.1,DW,1/25/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. hybridum,Colorado,treat,2008
237,0.53,5,235,0.2910000,0.0683850,49.3,JL,1/24/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. pratense,Pennsylvania,treat,2008
238,0.47,29,230,0.3910000,0.0899300,27.2,JL,1/24/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. repens,Idaho,treat,2008
239,1.00,55,107,0.7719630,0.0826000,44.4,JL,1/24/08,90,74,Control,1,1A,T. hybridum,Russia,T. repens,Idaho,treat,2008
240,0.55,24,131,0.2500000,0.0327500,45.1,JL,1/24/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. repens,Idaho,treat,2008
241,0.48,16,92,0.4434780,0.0408000,40.5,JL,1/25/08,90,100,Control,5,5A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
242,0.41,23,105,0.2885710,0.0303000,45,JL,1/25/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
243,0.86,13,377,0.4820000,0.1817140,37.9,DW,1/25/08,90,726,Control,6,6A,T. hybridum,Russia,T. pratense,Greece,treat,2008
244,0.05,12,33,0.2545450,0.0084000,41.8,DW,1/25/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. repens,Idaho,treat,2008
245,0.39,14,261,0.3240000,0.0845640,44.6,DW,1/25/08,90,837,Control,3,3A,T. hybridum,Russia,T. pratense,Greece,treat,2008
246,0.23,19,83,0.3614460,0.0300000,46.7,DW,1/25/08,90,493,Control,5,5A,T. pratense,Greece,T. repens,Idaho,treat,2008
247,1.02,18,381,0.2056070,0.0783364,54.7,DW,1/25/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
248,0.09,4,259,0.2200000,0.0569800,19.6,DW,1/25/08,90,498,Nitrogen,5,5B,T. hybridum,Colorado,T. repens,Chile,treat,2008
249,1.05,26,148,0.1830000,0.0270840,52.3,MH,1/25/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
250,0.59,8,388,0.0422000,0.0163569,43.1,DW,1/25/08,90,180,Control,5,5A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
251,0.65,24,177,0.2300000,0.0407100,46,DW,1/25/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. hybridum,Russia,treat,2008
252,0.43,13,287,0.4660000,0.1337420,41.1,DW,1/25/08,90,901,Control,2,2A,T. repens,Idaho,T. pratense,Greece,treat,2008
253,0.56,24,204,0.4861390,0.0991723,36.4,DW,1/25/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. repens,Idaho,treat,2008
254,0.63,14,77,0.4584420,0.0353000,44.2,JL,1/25/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
255,0.31,22,77,0.2753250,0.0212000,37.2,MH,1/25/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
256,0.10,3,760,0.1250000,0.0950000,15.8,MH,1/25/08,90,498,Nitrogen,5,5B,T. hybridum,Colorado,T. repens,Idaho,treat,2008
257,0.17,13,36,0.2000000,0.0072000,39.6,MH,1/25/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
258,0.14,9,28,0.3928570,0.0110000,34.5,JL,1/25/08,90,758,Control,1,1A,T. repens,Idaho,T. repens,Idaho,treat,2008
259,0.04,13,15,0.8133330,0.0122000,32.8,MH,1/25/08,90,74,Control,1,1A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
260,0.32,14,25,0.2160000,0.0054000,50.5,MH,1/25/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. repens,Idaho,treat,2008
261,0.38,16,154,0.1910000,0.0294140,54.5,MH,1/25/08,90,16,Nitrogen,3,3B,T. hybridum,Greece,T. repens,Idaho,treat,2008
262,0.07,6,155,0.1020000,0.0158100,42,MH,1/25/08,90,493,Control,5,5A,T. pratense,Greece,T. repens,Chile,treat,2008
263,0.19,7,312,0.1723210,0.0537643,20.7,MH,1/25/08,90,796,Nitrogen,2,2B,T. hybridum,Russia,T. pratense,Greece,treat,2008
264,0.97,14,459,0.3530000,0.1620270,44.3,JL,1/25/08,90,16,Nitrogen,3,3B,T. hybridum,Greece,T. pratense,Pennsylvania,treat,2008
265,0.67,51,128,0.4440000,0.0568320,45.8,JL,1/25/08,90,461,Control,2,2A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
266,0.78,63,205,0.1540000,0.0315700,37.7,JL,1/25/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. repens,Idaho,treat,2008
267,0.27,11,63,0.9015870,0.0568000,41.4,JL,1/25/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. hybridum,Russia,treat,2008
268,0.52,19,201,0.7080000,0.1423080,41.7,DW,1/26/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. pratense,Greece,treat,2008
269,0.23,9,829,0.0287000,0.0238030,34.4,DW,1/26/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. hybridum,Colorado,treat,2008
270,1.08,37,141,0.2940000,0.0414540,54.5,DW,1/26/08,90,636,Control,1,1A,T. repens,Chile,T. repens,Idaho,treat,2008
271,0.07,4,10,0.9400000,0.0094000,6.8,DW,1/26/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
272,0.96,19,419,0.1801890,0.0754991,50.2,DW,1/28/08,90,228,Control,1,1A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
273,1.08,102,280,0.4610000,0.1290800,42.4,JL,1/26/08,90,180,Control,5,5A,T. repens,Idaho,T. repens,Idaho,treat,2008
274,0.16,7,23,2.5260870,0.0581000,25.5,JL,1/26/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
275,0.38,20,160,0.3480000,0.0556800,44.2,MH,1/27/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. hybridum,Russia,treat,2008
276,0.54,6,138,0.2810000,0.0387780,50.3,MH,1/27/08,90,837,Control,3,3A,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
277,0.07,4,82,0.2390240,0.0196000,9.1,MH,1/26/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. hybridum,Russia,treat,2008
278,0.81,33,75,0.4613330,0.0346000,44.1,MH,1/26/08,90,726,Control,6,6A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
279,0.73,13,125,0.2070000,0.0258750,43.4,JL,1/26/08,90,538,Nitrogen,1,1B,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
280,0.49,26,55,0.8127270,0.0447000,46,JL,1/26/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
281,0.51,18,310,0.2510000,0.0778100,37.6,JL,1/26/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
282,0.16,12,299,0.1370000,0.0409630,36.1,MH,1/27/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. pratense,Greece,treat,2008
283,0.27,18,500,0.1059410,0.0529703,35.3,DW,1/28/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
284,0.41,27,113,0.2800000,0.0316400,11.6,JL,1/26/08,90,837,Control,3,3A,T. hybridum,Russia,T. repens,Idaho,treat,2008
285,0.54,22,57,1.0140350,0.0578000,43.8,JL,1/26/08,90,160,Control,5,5A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
286,0.33,22,282,0.1360000,0.0383520,38.4,MH,1/27/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. repens,Chile,treat,2008
287,0.95,18,271,0.3313730,0.0898020,49.2,DW,1/28/08,90,155,Control,4,4A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
288,0.79,75,239,0.2409520,0.0575876,38.4,DW,1/30/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. repens,Idaho,treat,2008
289,0.35,11,441,0.0574000,0.0253248,38.9,DW,1/30/08,90,449,Control,2,2A,T. hybridum,Russia,T. pratense,Greece,treat,2008
290,0.33,10,147,0.1240000,0.0182280,42.8,MH,1/29/08,90,493,Control,5,5A,T. pratense,Greece,T. pratense,Greece,treat,2008
291,0.21,8,230,0.0900000,0.0207000,32,MH,1/28/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
292,0.08,6,80,0.1575000,0.0126000,15.6,JL,1/28/08,90,729,Control,1,1A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
293,0.39,30,182,0.2570000,0.0467740,41.1,JL,1/28/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. repens,Chile,treat,2008
294,0.60,30,35,0.3342860,0.0117000,45.8,JL,1/30/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
295,0.48,22,138,0.3380000,0.0466440,46.4,JL,1/30/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
296,0.38,21,205,0.2690000,0.0551450,44.6,JL,1/30/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. repens,Chile,treat,2008
297,0.80,41,265,0.2330000,0.0617450,45.7,MH,1/29/08,90,627,Control,6,6A,T. repens,Chile,T. repens,Chile,treat,2008
298,NA,53,67,0.3164180,0.0212000,53.5,MH,1/28/08,90,461,Control,2,2A,T. hybridum,Colorado,T. repens,Chile,treat,2008
299,0.91,28,165,0.1900000,0.0313500,46.8,JL,1/28/08,90,415,Control,3,3A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
300,0.39,12,192,0.7660000,0.1470720,30.4,JL,1/28/08,90,180,Control,5,5A,T. repens,Idaho,T. pratense,Greece,treat,2008
301,0.41,23,178,0.3380000,0.0601640,45.5,JL,1/30/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. pratense,Greece,treat,2008
302,0.01,1,0,NA,NA,NA,MH,1/29/08,90,3,Control,6,6A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
303,0.83,36,187,0.3950000,0.0738650,45,JL,1/30/08,90,155,Control,4,4A,T. pratense,Greece,T. repens,Chile,treat,2008
304,0.53,13,484,0.1630000,0.0788920,50.2,MH,1/28/08,90,726,Control,6,6A,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
305,0.18,7,303,0.0300000,0.0090900,6.3,MH,1/28/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. hybridum,Russia,treat,2008
306,0.67,60,233,0.1900000,0.0442700,41.9,DW,1/30/08,90,706,Control,4,4A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
307,0.58,27,170,0.2176470,0.0370000,49.4,DW,1/30/08,90,627,Control,6,6A,T. repens,Chile,T. hybridum,Russia,treat,2008
308,0.90,32,65,0.1107690,0.0072000,47.4,MH,1/29/08,90,231,Nitrogen,6,6B,T. repens,France,T. hybridum,Colorado,treat,2008
309,0.24,15,188,0.4460000,0.0838480,43,MH,1/29/08,90,449,Control,2,2A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
310,1.05,43,190,1.1089110,0.2106931,44.4,DW,1/28/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. repens,Idaho,treat,2008
311,0.98,36,553,0.2990100,0.1653525,48.2,DW,1/28/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
312,0.69,10,729,0.1390000,0.1013310,45,MH,1/28/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
313,0.85,23,271,0.1387390,0.0375982,42,DW,1/30/08,90,74,Control,1,1A,T. hybridum,Russia,T. pratense,Greece,treat,2008
314,0.60,30,477,0.2294120,0.1094294,45.4,DW,1/30/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. repens,Idaho,treat,2008
315,0.65,47,253,0.3702970,0.0936851,52.1,DW,1/30/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. repens,Idaho,treat,2008
316,0.05,3,52,0.0154000,0.0008000,NA,DW,1/31/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. hybridum,Colorado,treat,2008
317,0.65,25,186,0.0297000,0.0055248,47,DW,1/31/08,90,461,Control,2,2A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
318,0.01,3,0,NA,NA,NA,DW,1/31/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
319,3.29,10,2,0.6000000,0.0012000,34.8,DW,1/31/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
320,0.01,3,0,NA,NA,NA,JL,1/30/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
321,0.91,19,198,0.0790000,0.0156420,45.5,JL,1/30/08,90,636,Control,1,1A,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
322,1.15,31,710,0.1950000,0.1384500,46,DW,1/31/08,90,461,Control,2,2A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
323,0.78,41,159,0.2140000,0.0340260,45.6,DW,1/31/08,90,108,Control,3,3A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
324,0.78,36,78,0.4910260,0.0383000,45.8,JL,1/31/08,90,100,Control,5,5A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
325,0.83,46,184,0.1490000,0.0274160,49.6,JL,1/31/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
326,0.98,34,142,0.1557970,0.0221232,46.9,JL,1/31/08,90,861,Control,5,5A,T. repens,Chile,T. hybridum,Colorado,treat,2008
327,0.77,14,301,0.1750000,0.0526750,47.5,NA,1/18/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
328,0.97,41,312,0.0900000,0.0280800,42.8,JL,1/31/08,90,228,Control,1,1A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
329,0.40,10,208,0.0330000,0.0068640,45.7,JL,1/31/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. pratense,Greece,treat,2008
330,0.59,9,191,0.1000000,0.0191000,47.3,JL,1/31/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
331,0.99,8,59,0.9203390,0.0543000,46.2,JL,1/30/08,90,449,Control,2,2A,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
332,0.98,53,134,0.9365670,0.1255000,46.8,JL,1/30/08,90,706,Control,4,4A,T. hybridum,Colorado,T. repens,Chile,treat,2008
333,0.49,26,94,0.3329790,0.0313000,45,JL,1/30/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. repens,Idaho,treat,2008
334,0.42,12,154,0.6970300,0.1073426,34.5,DW,1/31/08,90,145,Control,3,3A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
335,1.18,88,402,0.4754900,0.1911471,41.7,DW,1/31/08,90,758,Control,1,1A,T. repens,Idaho,T. repens,Idaho,treat,2008
336,0.75,37,254,0.1644440,0.0417689,40.5,TS,1/31/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. repens,Chile,treat,2008
337,0.43,10,134,0.6441180,0.0863118,34.5,DW,1/31/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
338,0.24,20,248,0.0307000,0.0076119,33.1,DW,1/31/08,90,475,Nitrogen,4,4B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
339,0.46,9,64,0.8093750,0.0518000,49.9,DW,1/31/08,90,643,Nitrogen,2,2B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
340,0.21,12,136,0.2690000,0.0365840,46.4,MH,1/31/08,90,493,Control,5,5A,T. pratense,Greece,T. pratense,Greece,treat,2008
341,0.57,15,717,0.2572820,0.1844709,37.6,DW,2/1/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. pratense,Greece,treat,2008
342,0.61,21,75,0.1066670,0.0080000,47.8,JL,2/1/08,90,173,Control,2,2A,T. repens,Chile,T. hybridum,Colorado,treat,2008
343,0.96,52,185,0.2440000,0.0451400,48,JL,2/1/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. repens,Chile,treat,2008
344,0.36,18,174,0.5240000,0.0911760,25.9,TS,2/1/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
345,0.96,23,126,0.1400000,0.0176400,40.9,TS,2/1/08,90,636,Control,1,1A,T. repens,Chile,T. hybridum,Colorado,treat,2008
346,0.83,33,62,1.1483870,0.0712000,49.1,TS,1/31/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. repens,Chile,treat,2008
347,0.45,23,64,0.5406250,0.0346000,50.3,JL,1/31/08,90,627,Control,6,6A,T. repens,Chile,T. hybridum,Russia,treat,2008
348,0.79,12,807,0.3455450,0.2788545,43.9,DW,2/1/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
349,0.52,17,55,0.7727270,0.0425000,57,MH,2/1/08,90,160,Control,5,5A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
350,0.47,22,23,0.3434780,0.0079000,49.6,MH,2/1/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. hybridum,Russia,treat,2008
351,0.72,24,337,0.0780000,0.0262860,42.9,JL,2/1/08,90,180,Control,5,5A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
352,0.60,18,417,0.2110000,0.0879870,36.9,TS,1/31/08,90,16,Nitrogen,3,3B,T. hybridum,Greece,T. pratense,Greece,treat,2008
353,1.26,22,197,0.1490000,0.0293530,47.7,JL,1/31/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
354,2.65,32,79,0.2101270,0.0166000,38.6,JL,2/1/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
355,0.73,29,1,0.0500000,0.0000500,51.2,JL,2/1/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
356,1.06,24,118,0.1322030,0.0156000,46.5,JL,1/31/08,90,461,Control,2,2A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
357,1.05,34,250,0.1490000,0.0372500,53.3,MH,1/31/08,90,758,Control,1,1A,T. repens,Idaho,T. repens,Chile,treat,2008
358,0.05,5,216,0.0440000,0.0095040,9.9,TS,2/2/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. hybridum,Russia,treat,2008
359,0.71,15,240,0.0610000,0.0146400,46.5,MH,2/4/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. hybridum,Colorado,treat,2008
360,0.32,18,60,0.3850000,0.0231000,22.1,MH,2/4/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. repens,Idaho,treat,2008
361,0.39,26,109,0.4560000,0.0497040,48.6,DW,2/3/08,90,493,Control,5,5A,T. pratense,Greece,T. hybridum,Russia,treat,2008
362,0.73,12,375,0.4774510,0.1790441,44,DW,2/3/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
